TRAFFIC_INDEX_DATE,MINIMUM_TRAFFIC_INDEX,MAXIMUM_TRAFFIC_INDEX,AVERAGE_TRAFFIC_INDEX
2019-01-01 00:00:00 +0000 UTC,1,31,11
2019-01-02 00:00:00 +0000 UTC,1,58,24
2019-01-03 00:00:00 +0000 UTC,1,255,31
2019-01-04 00:00:00 +0000 UTC,8,60,28
2019-01-05 00:00:00 +0000 UTC,2,255,26
2019-01-06 00:00:00 +0000 UTC,1,24,11
2019-01-07 00:00:00 +0000 UTC,9,67,29
2019-01-08 00:00:00 +0000 UTC,9,58,29
2019-01-09 00:00:00 +0000 UTC,6,255,28
2019-01-10 00:00:00 +0000 UTC,6,60,28
2019-01-11 00:00:00 +0000 UTC,4,74,37
2019-01-12 00:00:00 +0000 UTC,6,255,29
2019-01-13 00:00:00 +0000 UTC,1,29,12
2019-01-14 00:00:00 +0000 UTC,1,56,21
2019-01-15 00:00:00 +0000 UTC,6,255,35
2019-01-16 00:00:00 +0000 UTC,2,255,27
2019-01-17 00:00:00 +0000 UTC,2,65,27
2019-01-18 00:00:00 +0000 UTC,1,255,28
2019-01-19 00:00:00 +0000 UTC,1,255,23
2019-01-20 00:00:00 +0000 UTC,1,255,19
2019-01-21 00:00:00 +0000 UTC,1,67,27
2019-01-22 00:00:00 +0000 UTC,2,62,26
2019-01-23 00:00:00 +0000 UTC,1,255,34
2019-01-24 00:00:00 +0000 UTC,6,29,13
2019-01-25 00:00:00 +0000 UTC,1,71,30
2019-01-26 00:00:00 +0000 UTC,1,58,25
2019-01-27 00:00:00 +0000 UTC,1,45,20
2019-01-28 00:00:00 +0000 UTC,1,255,26
2019-01-29 00:00:00 +0000 UTC,1,255,28
2019-01-30 00:00:00 +0000 UTC,1,255,28
2019-01-31 00:00:00 +0000 UTC,2,255,35
2019-02-01 00:00:00 +0000 UTC,8,69,33
2019-02-02 00:00:00 +0000 UTC,1,53,24
2019-02-03 00:00:00 +0000 UTC,1,255,17
2019-02-04 00:00:00 +0000 UTC,1,255,23
2019-02-05 00:00:00 +0000 UTC,1,60,25
2019-02-06 00:00:00 +0000 UTC,1,60,29
2019-02-07 00:00:00 +0000 UTC,4,76,34
2019-02-08 00:00:00 +0000 UTC,9,255,33
2019-02-09 00:00:00 +0000 UTC,6,45,23
2019-02-10 00:00:00 +0000 UTC,1,255,17
2019-02-11 00:00:00 +0000 UTC,1,58,24
2019-02-12 00:00:00 +0000 UTC,1,72,29
2019-02-13 00:00:00 +0000 UTC,4,71,36
2019-02-14 00:00:00 +0000 UTC,6,62,28
2019-02-15 00:00:00 +0000 UTC,6,71,32
2019-02-16 00:00:00 +0000 UTC,4,51,23
2019-02-17 00:00:00 +0000 UTC,1,255,15
2019-02-18 00:00:00 +0000 UTC,1,60,23
2019-02-19 00:00:00 +0000 UTC,1,255,29
2019-02-20 00:00:00 +0000 UTC,2,255,29
2019-02-21 00:00:00 +0000 UTC,1,63,28
2019-02-22 00:00:00 +0000 UTC,1,255,27
2019-02-23 00:00:00 +0000 UTC,8,255,35
2019-02-24 00:00:00 +0000 UTC,13,33,23
2019-02-25 00:00:00 +0000 UTC,6,51,27
2019-02-26 00:00:00 +0000 UTC,2,58,26
2019-02-27 00:00:00 +0000 UTC,6,255,34
2019-02-28 00:00:00 +0000 UTC,2,255,26
2019-03-01 00:00:00 +0000 UTC,1,69,27
2019-03-02 00:00:00 +0000 UTC,1,53,21
2019-03-03 00:00:00 +0000 UTC,1,42,16
2019-03-04 00:00:00 +0000 UTC,1,255,25
2019-03-05 00:00:00 +0000 UTC,1,62,27
2019-03-06 00:00:00 +0000 UTC,1,255,30
2019-03-07 00:00:00 +0000 UTC,1,255,31
2019-03-08 00:00:00 +0000 UTC,1,69,31
2019-03-09 00:00:00 +0000 UTC,1,53,23
2019-03-10 00:00:00 +0000 UTC,1,44,20
2019-03-11 00:00:00 +0000 UTC,1,58,24
2019-03-12 00:00:00 +0000 UTC,1,255,35
2019-03-13 00:00:00 +0000 UTC,6,255,32
2019-03-14 00:00:00 +0000 UTC,1,255,27
2019-03-15 00:00:00 +0000 UTC,2,255,29
2019-03-16 00:00:00 +0000 UTC,1,255,26
2019-03-17 00:00:00 +0000 UTC,1,47,20
2019-03-18 00:00:00 +0000 UTC,1,255,25
2019-03-19 00:00:00 +0000 UTC,1,255,28
2019-03-20 00:00:00 +0000 UTC,1,255,28
2019-03-21 00:00:00 +0000 UTC,1,255,27
2019-03-22 00:00:00 +0000 UTC,1,47,21
2019-03-27 00:00:00 +0000 UTC,2,53,30
2019-03-28 00:00:00 +0000 UTC,1,63,27
2019-03-29 00:00:00 +0000 UTC,1,255,30
2019-03-30 00:00:00 +0000 UTC,1,42,19
2019-03-31 00:00:00 +0000 UTC,1,255,6
2019-04-01 00:00:00 +0000 UTC,1,255,23
2019-04-02 00:00:00 +0000 UTC,1,255,25
2019-04-03 00:00:00 +0000 UTC,1,255,26
2019-04-04 00:00:00 +0000 UTC,4,255,28
2019-04-05 00:00:00 +0000 UTC,1,255,32
2019-04-06 00:00:00 +0000 UTC,9,51,28
2019-04-07 00:00:00 +0000 UTC,1,255,26
2019-04-08 00:00:00 +0000 UTC,2,54,25
2019-04-09 00:00:00 +0000 UTC,2,255,27
2019-04-10 00:00:00 +0000 UTC,2,255,29
2019-04-11 00:00:00 +0000 UTC,1,255,27
2019-04-12 00:00:00 +0000 UTC,1,63,28
