ilce_adi;mahalle_adi;mahalle_uavt;1980_oncesi;1980-2000_arasi;2000_sonrasi;1-4 kat_arasi;5-9 kat_arasi;9-19 kat_arasi
ADALAR;BURGAZADA;40139;433;214;173;802;18;0
ADALAR;HEYBEL›ADA;40142;836;347;212;1359;36;0
ADALAR;KINALIADA;40143;610;244;158;923;89;0
ADALAR;MADEN;40140;863;510;308;1637;44;0
ADALAR;N›ZAM;40141;842;426;217;1434;51;0
ARNAVUTK÷Y;ADNAN MENDERES;40490;0;244;121;353;12;0
ARNAVUTK÷Y;ANADOLU;99359;0;1360;845;1647;555;3
ARNAVUTK÷Y;ARNAVUTK÷Y MERKEZ;40478;0;685;589;797;470;7
ARNAVUTK÷Y;ATAT‹RK;40482;0;565;216;754;27;0
ARNAVUTK÷Y;BAKLALI;191981;0;332;184;515;1;0
ARNAVUTK÷Y;BALABAN;191983;0;242;53;295;0;0
ARNAVUTK÷Y;BO–AZK÷Y ›ST›KLAL;40483;90;864;540;1452;42;0
ARNAVUTK÷Y;BOLLUCA;40487;0;578;185;716;47;0
ARNAVUTK÷Y;BOYALIK;191985;0;313;205;514;4;0
ARNAVUTK÷Y;«›L›NG›R;40494;0;315;176;485;6;0
ARNAVUTK÷Y;DEL›KL›KAYA;40910;0;291;279;478;36;56
ARNAVUTK÷Y;DURSUNK÷Y;40911;0;204;72;276;0;0
ARNAVUTK÷Y;DURUSU;40915;0;208;43;251;0;0
ARNAVUTK÷Y;FAT›H;40495;0;219;198;406;11;0
ARNAVUTK÷Y;HACIMAﬁLI;191975;1;137;107;244;1;0
ARNAVUTK÷Y;HADIMK÷Y;40913;0;418;793;909;229;73
ARNAVUTK÷Y;HARA««I;40489;0;813;622;1356;79;0
ARNAVUTK÷Y;HASTANE;40912;0;434;391;578;237;10
ARNAVUTK÷Y;H›CRET;40486;0;221;113;323;11;0
ARNAVUTK÷Y;›MRAHOR;40481;0;1141;471;1585;27;0
ARNAVUTK÷Y;›SLAMBEY;40479;0;1184;481;1452;204;9
ARNAVUTK÷Y;KARABURUN;191987;0;404;710;1110;4;0
ARNAVUTK÷Y;KARLIBAYIR;40488;0;669;465;944;183;7
ARNAVUTK÷Y;MAREﬁAL FEVZ› «AKMAK;40493;0;458;450;881;27;0
ARNAVUTK÷Y;MAV›G÷L;40485;0;420;520;907;33;0
ARNAVUTK÷Y;MEHMET AK›F ERSOY;40491;0;255;218;465;8;0
ARNAVUTK÷Y;MUSTAFA KEMAL PAﬁA;99358;0;707;273;843;137;0
ARNAVUTK÷Y;NENEHATUN;99357;0;561;223;707;77;0
ARNAVUTK÷Y;÷MERL›;40906;0;273;329;477;83;42
ARNAVUTK÷Y;SAZLIBOSNA;40907;0;338;55;393;0;0
ARNAVUTK÷Y;TAﬁOLUK;40492;0;607;179;750;36;0
ARNAVUTK÷Y;TAYAKADIN;191977;0;817;487;1301;3;0
ARNAVUTK÷Y;TERKOS;40914;0;428;132;560;0;0
ARNAVUTK÷Y;YASSI÷REN;191989;0;0;342;316;24;2
ARNAVUTK÷Y;YAVUZ SEL›M;40480;0;968;204;1113;58;1
ARNAVUTK÷Y;YEN›K÷Y;191979;0;190;836;1026;0;0
ARNAVUTK÷Y;YEﬁ›LBAYIR;40908;0;172;208;357;23;0
ARNAVUTK÷Y;YUNUS EMRE;40484;5;1168;327;1421;78;1
ATAﬁEH›R;AﬁIKVEYSEL;98687;792;181;199;886;266;20
ATAﬁEH›R;ATAT‹RK;99749;49;386;416;455;234;162
ATAﬁEH›R;BARBAROS;40527;571;725;596;1585;205;102
ATAﬁEH›R;ESATPAﬁA;40793;997;396;733;1474;597;55
ATAﬁEH›R;FERHATPAﬁA;40577;4;845;1135;1370;599;15
ATAﬁEH›R;FETIH;40795;55;339;160;265;262;27
ATAﬁEH›R;›«ERENK÷Y;40530;1610;1809;1203;2950;1302;370
ATAﬁEH›R;›N÷N‹;40534;89;445;887;504;898;19
ATAﬁEH›R;KAYIﬁDA–I;40533;311;1394;1273;2245;723;10
ATAﬁEH›R;K‹«‹KBAKKALK÷Y;40531;478;292;957;850;611;266
