service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
112,1,1,1,1,1,1,0,20181231,20201231
116,1,1,1,1,1,0,1,20181231,20201231
114,0,0,0,0,0,0,1,20181231,20201231
110,1,1,1,1,1,1,1,20181231,20201231
115,0,0,0,0,0,1,1,20181231,20201231
113,0,0,0,0,0,1,0,20181231,20201231
111,1,1,1,1,1,0,0,20181231,20201231
32,1,1,1,1,1,1,0,20181231,20201231
33,0,0,0,0,0,0,1,20181231,20201231
28,0,0,0,0,0,0,1,20181231,20221231
27,0,0,0,0,0,1,0,20181231,20221231
108,1,1,1,1,1,1,0,20170101,20221231
26,1,1,1,1,1,0,0,20181231,20221231
29,1,1,1,1,1,1,1,20181231,20221231
120,0,0,0,0,1,0,0,20180101,20221231
119,1,1,1,1,0,0,0,20180101,20221231
121,0,0,0,0,0,1,1,20190401,20190603
123,0,0,0,0,0,0,1,20190401,20190917
124,1,1,1,1,1,1,1,20190401,20190430
125,1,1,1,1,1,1,1,20190501,20190506
122,0,0,0,0,0,1,1,20190101,20190303
310,0,0,0,0,0,1,1,20190902,20210902
309,0,0,0,0,0,0,0,20190506,20190603
308,0,0,0,0,0,0,0,20190506,20190603
24,0,0,0,0,0,1,0,20181231,20221231
41,1,1,1,1,1,1,0,20181231,20221231
109,0,0,0,0,0,1,1,20181231,20221231
25,0,0,0,0,0,0,1,20181231,20221231
23,1,1,1,1,1,0,0,20181231,20221231
42,1,1,1,1,1,1,1,20181231,20221231
314,0,0,0,0,0,0,1,20190830,20211030
312,1,1,1,1,1,1,1,20200530,20200915
130,0,0,0,0,0,0,0,20180801,20221231
126,1,1,1,1,1,1,0,20181231,20221231
90,1,1,1,1,1,0,0,20181231,20221231
91,1,1,1,1,1,1,1,20181231,20221231
92,1,1,1,1,1,1,1,20181231,20221231
43,0,0,0,0,0,0,0,20181231,20221231
46,0,0,0,0,0,0,0,20181231,20221231
45,0,0,0,0,0,1,0,20181231,20221231
311,1,1,1,1,1,1,1,20191016,20231016
15,1,1,1,1,1,1,0,20181231,20221231
16,0,0,0,0,0,0,1,20181231,20221231
133,1,1,1,1,1,1,0,20181231,20221231
132,0,1,0,1,0,1,1,20180801,20200801
131,1,1,1,1,1,1,1,20181231,20221231
129,0,0,0,0,0,0,1,20181231,20221231
128,0,0,0,0,0,1,0,20181231,20221231
127,1,1,1,1,1,0,0,20181231,20221231

