route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7142,37,BAKIRKÖY - OSMANİYE,BAKIRKÖY - OSMANİYE,,9,,,
7345,37,AĞVA - DEĞİRMENÇAYIRI,AĞVA-DEĞİRMENÇAYIRI,,9,,,
7268,37,ÇATALCA DEVLET HASTANESİ-YAZLIK KÖYÜ,ÇATALCA DEVLET HASTANESİ - YAZLIK KÖYÜ,,9,,,
7351,37,İNCİRLİ-KOCASİNAN,İNCİRLİ - EVREN MH. - BAĞCILAR,,9,,,
7250,37,ÜSKÜDAR-KİRAZLITEPE-HASİPPAŞA,ÜSKÜDAR - KİRAZLITEPE - HASİPPAŞA,,9,,,
7376,37,SANTRAL(ÜMRANİYE)-YAVUZTÜRK,ÜMRANİYE(SANTRAL) - YAVUZTÜRK MH.,,9,,,
7366,37,SULTANBEYLİ-AYDOS (1.GÜZERGAH),SULTANBEYLİ - AYDOS - YENİDOGAN -  KURTKÖY,,9,,,
7373,37,ABDURRAHMANGAZİ-YENİDOĞAN-SARIGAZİ-DUDULLU,DUDULLU - SARIGAZİ - TAŞDELEN - YENİDOĞAN-A.GAZİ,,9,,,
7444,37,İNCİRLİ-BAĞLAR MAH,İNCİRLİ - EVREN MH. - BAĞCILAR,,9,,,
7431,37,"PENDİK ANADOLU İMAM HATİP LİSESİ-YAKACIK,ADNAN KAHVECİ METRO İSTASYONU",KARTAL - TOPSELVİ,,9,,,
7301,37,PENDİK-ORHANLI,PENDİK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7256,37,AYDINLI TOKİ KONUTLAR-İÇMELER-DENİZ HARP OKULU,TERSANELER - TUZLA - AYDINLI - ORHANLI,,9,,,
7518,37,BÜYÜKÇEKMECE-TEPEKENT B KAPISI RİNG GÜZERGAH,BÜYÜKÇEKMECE- TÜRKOBA- TEPEKENT,,9,,,
7260,37,MARMARA ÜN. PENDİK EĞİTİM VE ARŞ. HASTANESİ,PENDİK - GÖZDAĞI,,9,,,
7275,37,ŞİLE-KIZILCAKÖY,ŞİLE - KIZILCAKÖY,,9,,,
7282,37,DUDULLU-ŞAHİNTEPE,DUDULLU - ŞAHİNTEPE,,9,,,
7412,37,BEYLİKDÜZÜ KAYMAKAMLIĞI-BÜYÜKÇEKMECE,B.ÇEKMECE - GÜRPINAR - YAKUPLU - BEYLİKDÜZÜ,,9,,,
7406,37,2.GÜZERGAH,BÜYÜKÇEKMECE - ESENYURT,,9,,,
7274,37,ÇATALCA DEVLET HASTANESİ-KALFA KÖYÜ,ÇATALCA DEVLET HASTANESİ - KALFA KÖYÜ,,9,,,
7510,37,Bahçeköy,Sarıyer,,9,,,
7341,37,PENDİK-KAVAKPINAR MAH.,PENDİK - KAYNARCA - ESENYALI MH.,,9,,,
7377,37,PENDİK-KADIKÖY,KADIKÖY - PENDİK,,9,,,
7181,37,TOPKAPI-GÜNGÖREN-BAĞCILAR-OTOCENTER-42 EVLER,100.YIL MH - BAĞCILAR - TOPKAPI,,9,,,
7164,37,YAHYA KEMAL-DERE CADDESİ-NOBEL İLAÇ FABRİKASI2,ŞİŞLİ - ÇAĞLAYAN - Y.KEMAL - GÜLTEPE - 4.LEVENT,,9,,,
7327,37,PENDİK-HİLAL KONUTLARI,PENDİK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7403,37,BOSTANCI-TAVUKÇU YOLU-DUDULLU,BOSTANCI - DUDULLU,,9,,,
7266,37,BAKIRKÖY-HASTANE-ESENLER-ATIŞALANI-2,BAKIRKÖY - ESENLER - ATIŞALANI - OTOGAR,,9,,,
7223,37,ŞİŞHANE-YEŞİLPINAR-VİALAND,ŞİŞLİ - ŞİŞHANE - KARAYOLLARI - İMAR BLOKLARI,,9,,,
7436,37,DEREAĞZI MH-MİGROS AVM,B.ÇEKMECE - GÜRPINAR - YAKUPLU - BEYLİKDÜZÜ,,9,,,
7300,37,TOPKAPI-ESENLER-ATIŞALANI-YÜZYIL,100.YIL - ATIŞALANI - ESENLER - TOPKAPI,,9,,,
7306,37,BAKIRKÖY-ŞİRİNEVLER-EVREN MAH,BAKIRKÖY - İKİTELLİ - MAHMUTBEY,,9,,,
7131,37,İNCİRLİ-ORMANTEPE,ÇAVUŞPAŞA - BAHÇELİEVLER - İNCİRLİ,,9,,,
7360,37,SULTANBEYLİ-AYDOS (2.GÜZERGAH),SULTANBEYLİ - AYDOS - YENİDOGAN -  KURTKÖY,,9,,,
7302,37,TOPKAPI-FATİH MAH.-İSTOÇ,TOPKAPI - ÇİFTLİK - FATİH MAHALLESİ - İSTOÇ,,9,,,
7415,37,ABDURRAHMANGAZİ-YENİDOĞAN-MADENLER-DUDULLU,DUDULLU - SARIGAZİ - TAŞDELEN - YENİDOĞAN-A.GAZİ,,9,,,
7507,37,Hacıosman-Beşiktaş,Sarıyer,,9,,,
7197,37,TUZLA-PENDİK,PENDİK - TUZLA,,9,,,
7202,37,SEFAKÖY - İSTOÇ,SEFAKÖY - MEHMET AKİF - İSTOÇ,,9,,,
7184,37,ŞİŞLİ-GÖKTÜRK,ŞİŞLİ - KAĞITHANE - GÜZELTEPE - ABDURAHMAN MH.,,9,,,
7238,37,ÜSKÜDAR-ÇENGELKÖY-TALİMHANE-RASATHANE,ÜSKÜDAR - ÇENGELKÖY - TALİMHANE - ÜMRANİYE,,9,,,
7427,37,CEBECİ MAH-TOPKAPI 2,GAZİ MAHALLESİ - CEBECİ - KÜÇÜKKÖY - EDİRNEKAPI,,9,,,
7479,37,ATAKÖY-ŞİRİNEVLER METRO-ATAKÖY PLUS AVM RİNG,BAKIRKÖY - ATAKÖY,,9,,,
7378,37,KARTAL-KADIKÖY,KADIKÖY - KARTAL,,9,,,
7229,37,PENDİK-ŞİFA MH,PENDİK - ŞİFA MH.,,9,,,
