DATE_TIME,TRANSPORT_TYPE_ID,TRANSPORT_TYPE_DESC,LINE,TRANSFER_TYPE_ID,TRANSFER_TYPE,NUMBER_OF_PASSENGER,NUMBER_OF_PASSAGE
2021-04-20 13:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,166,167
2021-04-14 12:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,2422,2459
2021-04-18 07:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,94,94
2021-04-13 04:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2,2
2021-04-07 14:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,641,642
2021-04-15 15:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,AKTARMA,13,13
2021-04-14 02:00:00,2,RAY,AKSARAY-HAVALİMANI,2,NORMAL,7,7
2021-04-29 09:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,256,256
2021-04-04 23:00:00,1,KARAYOLU,ÖHO,2,NORMAL,848,858
2021-04-07 11:00:00,2,RAY,T5 EMİNÖNÜ-ALİBEYKÖY,2,NORMAL,370,376
2021-04-13 22:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,365,366
2021-04-20 12:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,2941,2987
2021-04-03 22:00:00,2,RAY,TAKSİM-4.LEVENT,2,NORMAL,1024,1024
2021-04-02 22:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,228,229
2021-04-28 17:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,580,581
2021-04-14 10:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,2106,2148
2021-04-10 07:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,NORMAL,3642,3649
2021-04-20 18:00:00,2,RAY,TAKSİM-4.LEVENT,2,AKTARMA,2964,2992
2021-04-02 10:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,2722,2735
2021-04-10 19:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,1058,1075
2021-04-20 17:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,NORMAL,499,502
2021-04-12 06:00:00,2,RAY,KADIKÖY-KARTAL METROSU,2,AKTARMA,732,733
2021-04-07 18:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,1512,1519
2021-04-18 05:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,AKTARMA,4,4
2021-04-06 19:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,7005,7017
2021-04-14 19:00:00,2,RAY,KABATAŞ-BAĞCILAR,2,AKTARMA,2031,2071
2021-04-28 23:00:00,1,KARAYOLU,METROBÜS,2,NORMAL,2217,2233
2021-04-19 13:00:00,2,RAY,TELEFERİK MAÇKA - TAŞKIŞLA,2,AKTARMA,1,1
2021-04-18 10:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,187,190
2021-04-03 16:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,AKTARMA,338,340
2021-04-20 07:00:00,2,RAY,KİRAZLI-OLİMPİYATKÖY,2,AKTARMA,1761,1763
2021-04-17 00:00:00,2,RAY,EDİRNEKAPI-SULTANÇİFTLİĞİ,2,NORMAL,65,65
2021-04-30 17:00:00,2,RAY,İETT TÜNEL,2,AKTARMA,13,13
2021-04-08 12:00:00,2,RAY,T5 EMİNÖNÜ-ALİBEYKÖY,2,AKTARMA,84,85
2021-04-09 21:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,475,475
2021-04-11 05:00:00,1,KARAYOLU,İETT,2,AKTARMA,1,1
2021-04-05 22:00:00,1,KARAYOLU,ÖHO,2,AKTARMA,1275,1303
2021-04-26 14:00:00,2,RAY,TAKSİM-KABATAŞ FUNİKULERİ,2,NORMAL,157,159
2021-04-17 02:00:00,2,RAY,ÜSKÜDAR ÇEKMEKÖY METROSU,2,NORMAL,2,2
2021-04-24 13:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,913,919
2021-04-15 10:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,12,12
2021-04-06 15:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,3263,3287
2021-04-29 14:00:00,2,RAY,LEVENT - RUMELİ HİSARÜSTÜ,2,AKTARMA,157,161
2021-04-14 18:00:00,2,RAY,AKSARAY-HAVALİMANI,2,AKTARMA,5241,5287
2021-04-15 17:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,13,13
2021-04-28 11:00:00,2,RAY,KABATAŞ-MAHMUTBEY,2,NORMAL,1283,1288
2021-04-22 11:00:00,3,DENİZ,ŞEHİR HATLARI,2,AKTARMA,950,959
2021-04-15 14:00:00,2,RAY,İETT NOSTALJİK TRAMVAY,2,NORMAL,26,27
2021-04-04 00:00:00,3,DENİZ,ŞEHİR HATLARI,2,NORMAL,2,2
